,City,Country,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
457,steamboat springs,us,40.48,-106.83,82.4,10.29,27.0,1.0
458,kitgum,ug,3.3,32.88,66.53,2.55,97.0,9.0
459,shellbrook,ca,53.22,-106.39,71.6,8.05,46.0,75.0
460,shenjiamen,cn,29.96,122.3,73.19,15.75,90.0,100.0
461,iquique,cl,-20.22,-70.14,62.6,10.29,67.0,90.0
462,sierra vista,us,31.55,-110.3,100.0,8.05,13.0,40.0
463,rudnyy,ru,44.28,134.96,54.83,4.16,94.0,82.0
464,melhus,no,63.29,10.28,59.0,8.05,82.0,0.0
465,moree,au,-29.46,149.84,39.99,2.24,93.0,40.0
466,georgetown,gy,6.8,-58.16,86.0,9.17,79.0,40.0
467,vydrino,ru,51.46,104.64,60.01,4.0,40.0,100.0
468,santo domingo,ni,12.26,-85.08,89.6,4.7,55.0,40.0
469,skowhegan,us,44.77,-69.72,84.99,5.82,39.0,1.0
470,la rioja,ar,-29.41,-66.86,50.87,3.83,56.0,100.0
471,kongsvinger,no,60.19,12.01,64.4,3.36,42.0,0.0
472,cervo,es,43.67,-7.41,66.0,13.89,37.0,0.0
473,banepa,np,27.63,85.52,69.8,1.68,100.0,75.0
474,joshimath,in,30.57,79.57,56.81,2.44,99.0,100.0
475,barcelona,ph,12.87,124.14,78.23,5.44,86.0,100.0
476,shihezi,cn,44.3,86.03,77.87,4.27,29.0,13.0
478,plover,us,44.46,-89.54,84.99,9.17,58.0,40.0
479,longhua,cn,29.21,106.21,69.05,0.81,88.0,0.0
480,mizdah,ly,31.45,12.98,88.31,8.41,15.0,0.0
481,ust-tsilma,ru,65.44,52.15,44.93,4.25,80.0,84.0
482,bredy,ru,52.43,60.33,61.49,10.27,64.0,67.0
483,beringovskiy,ru,63.05,179.32,62.57,6.02,62.0,0.0
484,sainte-maxime,fr,43.31,6.64,82.4,4.7,48.0,76.0
485,mukacheve,ua,48.44,22.72,55.99,5.06,85.0,69.0
486,yellowknife,ca,62.45,-114.38,57.2,10.29,58.0,90.0
487,port lincoln,au,-34.72,135.86,60.23,29.06,73.0,0.0
488,nefteyugansk,ru,61.09,72.61,50.0,2.24,100.0,0.0
489,whittlesea,za,-32.18,26.82,54.29,6.96,34.0,0.0
490,casper,us,42.87,-106.31,72.0,32.21,28.0,40.0
491,baraboo,us,43.47,-89.74,84.99,11.41,65.0,90.0
492,den helder,nl,52.96,4.76,62.01,3.36,72.0,90.0
494,siavonga,zm,-16.54,28.71,64.19,4.05,45.0,0.0
496,raudeberg,no,61.99,5.14,64.4,3.36,67.0,20.0
497,tignere,cm,7.37,12.65,67.43,1.12,97.0,100.0
498,nalut,ly,31.86,10.98,91.01,17.11,18.0,0.0
499,tommot,ru,58.97,126.27,60.59,5.75,95.0,100.0
